FAILURE,YEAR_CONSTRUCTION,YEAR_ACTIVE,AGE,CABLE_COX1,CABLE_COX2,COX1==COX2,CONSTRUCTION_ORIG,CONSTRUCTION_EXP,CONSTRUCTION_COX,GROUND_TYPE,SUBSIDENCE,DEWATERING_DEPTH_CM
False,2016.0,2016.0,2.0,XLPE,XLPE,True,Kunststofmof Overig,Kunststofmof,Krimpmof,Lichte klei,0,-3.0
False,1943.0,1943.0,75.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Oliemof,Oliemof,Oliemof,Lichte zavel,1,-0.5
False,1997.0,1997.0,21.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Lovinolmof,LOVINOL_5,"Bebouwing, enz",0,-2.5
True,1966.0,,46.0,GPLK_VOOR_1978,,False,Nekaldietmof,Nekaldietmof,Nekaldietmof,Zware klei,1,-0.5
False,1981.0,,37.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Lovinolmof,LOVINOL_5,"Bebouwing, enz",1,-1.5
False,2016.0,2016.0,2.0,GPLK_NA_1978,XLPE,False,Kunststofmof Cellpack,Kunststofmof,Krimpmof,"Bebouwing, enz",0,-2.0
False,1988.0,,30.0,GPLK_NA_1978,GPLK_NA_1978,True,Oliemof,Oliemof,Oliemof,Zware zavel,0,-3.0
False,2009.0,2009.0,9.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Kunststofmof,Krimpmof,"Bebouwing, enz",1,-3.5
False,1974.0,1974.0,44.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Oliemof,Oliemof,Oliemof,"Bebouwing, enz",0,-4.0
False,1983.0,1983.0,35.0,GPLK_NA_1978,GPLK_NA_1978,True,Overig,Overig,Overig,Water,1,-0.5
False,2000.0,2000.0,18.0,GPLK_VOOR_1978,GPLK_NA_1978,False,Kabeldon,Kabeldon,Kabeldon,Lichte klei,0,-0.49999999
False,2012.0,2012.0,6.0,,XLPE,False,Krimpmof Overig,Krimpmof,Krimpmof,Zand,0,-3.0
True,2012.0,2012.0,1.0,,,False,Krimpmof Raychem,Krimpmof,Krimpmof,"Bebouwing, enz",0,-10.0
True,1998.0,1998.0,18.0,,GPLK_NA_1978,False,Gietharsmof,Gietharsmof,Gietharsmof,Lichte klei,0,-2.49999999
False,1989.0,1989.0,29.0,GPLK_NA_1978,GPLK_NA_1978,True,Oliemof,Oliemof,Oliemof,Veen,1,0.49999999
False,2015.0,2015.0,3.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Krimpmof Raychem,Krimpmof,Krimpmof,"Bebouwing, enz",1,-1.5
False,1867.0,,151.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Oliemof,Oliemof,Zand,0,-1.0
False,1969.0,,49.0,,GPLK_VOOR_1978,False,Onbekend,Onbekend,Onbekend,Lichte klei,0,-4.99999999
True,2006.0,2006.0,6.0,,XLPE,False,Krimpmof Raychem,Krimpmof,Krimpmof,Zware zavel,0,-3.0
False,2016.0,2016.0,2.0,,XLPE,False,Krimpmof Overig,Krimpmof,Krimpmof,"Bebouwing, enz",0,-0.5
False,1986.0,1986.0,32.0,GPLK_NA_1978,GPLK_NA_1978,True,Kabeldon,Kabeldon,Kabeldon,Veen,1,-1.0
False,1973.0,1973.0,45.0,,GPLK_VOOR_1978,False,Oliemof,Oliemof,Oliemof,"Bebouwing, enz",0,-1.49999999
False,2017.0,2017.0,1.0,GPLK_VOOR_1978,,False,Onbekend,Krimpmof,Krimpmof,Zand,0,0.5
True,1999.0,1999.0,11.0,,GPLK_VOOR_1978,False,Gietharsmof,Gietharsmof,Gietharsmof,"Bebouwing, enz",1,-2.5
False,1998.0,,20.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Lovinolmof,LOVINOL_5,Zand,0,0.5
False,1977.0,,41.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Oliemof,Oliemof,"Bebouwing, enz",0,-0.5
False,2010.0,2010.0,8.0,,,False,Kunststofmof Raychem,Kunststofmof,Krimpmof,Lichte klei,0,-2.5
False,1968.0,,50.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Onbekend,Onbekend,Lichte zavel,0,-3.0
False,1968.0,,50.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Oliemof,Oliemof,Oliemof,Lichte klei,1,-2.99999999
False,2014.0,2014.0,4.0,,,False,Krimpmof Raychem,Kunststofmof,Krimpmof,Zand,0,-1.99999999
False,1949.0,,69.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Oliemof,Oliemof,Oliemof,"Bebouwing, enz",0,-3.0
True,1995.0,1995.0,19.0,,GPLK_NA_1978,False,Lovinolmof,Lovinolmof,LOVINOL_3,Zand,0,0.49999999
True,1976.0,1976.0,33.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Nekaldietmof,Nekaldietmof,Nekaldietmof,Zware zavel,0,0.49999999
True,1997.0,1997.0,10.0,XLPE,GPLK_VOOR_1978,False,Onbekend,Lovinolmof,LOVINOL_4,"Bebouwing, enz",0,-2.99999999
False,1988.0,1988.0,30.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Oliemof,Oliemof,Oliemof,"Bebouwing, enz",0,0.0
False,1974.0,1974.0,44.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Oliemof,Oliemof,Zand,0,-2.0
False,2016.0,2016.0,2.0,,,False,Onbekend,Krimpmof,Krimpmof,"Bebouwing, enz",0,-1.0
False,1992.0,1992.0,26.0,GPLK_VOOR_1978,GPLK_NA_1978,False,Oliemof,Oliemof,Oliemof,"Bebouwing, enz",0,-25.49999999
False,1969.0,,49.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Onbekend,Onbekend,Lichte zavel,1,-2.5
False,1988.0,,30.0,GPLK_NA_1978,GPLK_NA_1978,True,Onbekend,Oliemof,Oliemof,"Bebouwing, enz",0,-3.0
True,1990.0,,25.0,,,False,Onbekend,Lovinolmof,LOVINOL_3,"Bebouwing, enz",0,-2.49999999
False,2007.0,2007.0,11.0,GPLK_VOOR_1978,XLPE,False,Overig,Overig,Overig,Lichte klei,0,-1.0
False,2011.0,2011.0,7.0,GPLK_NA_1978,,False,Krimpmof Raychem,Krimpmof,Krimpmof,"Bebouwing, enz",0,-5.5
False,2011.0,2011.0,7.0,,GPLK_VOOR_1978,False,Kunststofmof Raychem,Kunststofmof,Krimpmof,Zware klei,1,-0.5
True,1972.0,1972.0,42.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Nekaldietmof,Nekaldietmof,Nekaldietmof,Zware zavel,0,-2.49999999
False,2014.0,2014.0,4.0,,XLPE,False,Kunststofmof Raychem,Kunststofmof,Krimpmof,"Bebouwing, enz",1,-1.0
False,2007.0,2007.0,11.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Kabeldon,Kabeldon,Kabeldon,Moerig op zand,0,-3.5
False,2003.0,2003.0,15.0,,XLPE,False,Onbekend,Lovinolmof,LOVINOL_3,Zand,0,-0.5
False,1930.0,,88.0,GPLK_VOOR_1978,GPLK_VOOR_1978,True,Onbekend,Massamof,Massamof,Zand,0,-5.0
True,1946.0,1946.0,66.0,,,False,Onbekend,Massamof,Massamof,"Bebouwing, enz",1,-4.49999999
True,1991.0,1991.0,16.0,XLPE,,False,Oliemof,Oliemof,Oliemof,Lichte zavel,0,-0.5
